"","power_wt","psg_wt","pilot_wt","range_wt","toffdist_wt","recharge_time_wt","airspeed_wt","grdspeed_wt","utility","cost"
"12179",1,1,1,0.5,1,0.5,0.1,0.5,0.673333333333333,4970
"12215",1,1,1,1,1,0.5,0.1,0.5,0.728888888888889,5320
"12359",1,1,1,1,0.5,0.5,0.1,0.5,0.684444444444444,5320
"12647",1,1,1,1,1,0,0.1,0.5,0.706666666666667,5170
"13007",1,1,1,0.1,1,1,0.5,0.5,0.677777777777778,4920
"13043",1,1,1,0.5,1,1,0.5,0.5,0.722222222222222,5200
"13076",1,0.7,1,1,1,1,0.5,0.5,0.717777777777778,5370
"13079",1,1,1,1,1,1,0.5,0.5,0.777777777777778,5550
"13080",0.5,1,1,1,1,1,0.5,0.5,0.7,5550
"13091",1,1,0.5,1,1,1,0.5,0.5,0.711111111111111,5550
"13103",1,1,0.2,1,1,1,0.5,0.5,0.671111111111111,5550
"13187",1,1,1,0.5,0.5,1,0.5,0.5,0.677777777777778,5200
"13220",1,0.7,1,1,0.5,1,0.5,0.5,0.673333333333333,5370
"13223",1,1,1,1,0.5,1,0.5,0.5,0.733333333333333,5550
"13367",1,1,1,1,0,1,0.5,0.5,0.688888888888889,5550
"13475",1,1,1,0.5,1,0.5,0.5,0.5,0.7,5050
"13508",1,0.7,1,1,1,0.5,0.5,0.5,0.695555555555556,5220
"13511",1,1,1,1,1,0.5,0.5,0.5,0.755555555555556,5400
"13512",0.5,1,1,1,1,0.5,0.5,0.5,0.677777777777778,5400
"13523",1,1,0.5,1,1,0.5,0.5,0.5,0.688888888888889,5400
"13655",1,1,1,1,0.5,0.5,0.5,0.5,0.711111111111111,5400
"13907",1,1,1,0.5,1,0,0.5,0.5,0.677777777777778,4900
"13940",1,0.7,1,1,1,0,0.5,0.5,0.673333333333333,5070
"13943",1,1,1,1,1,0,0.5,0.5,0.733333333333333,5250
"14087",1,1,1,1,0.5,0,0.5,0.5,0.688888888888889,5250
"14267",1,1,1,0,1,1,1,0.5,0.7,4950
"14303",1,1,1,0.1,1,1,1,0.5,0.711111111111111,5020
"14336",1,0.7,1,0.5,1,1,1,0.5,0.695555555555556,5120
"14339",1,1,1,0.5,1,1,1,0.5,0.755555555555556,5300
"14340",0.5,1,1,0.5,1,1,1,0.5,0.677777777777778,5300
"14351",1,1,0.5,0.5,1,1,1,0.5,0.688888888888889,5300
"14369",1,0.4,1,1,1,1,1,0.5,0.691111111111111,5290
"14372",1,0.7,1,1,1,1,1,0.5,0.751111111111111,5470
"14373",0.5,0.7,1,1,1,1,1,0.5,0.673333333333333,5470
"14374",0.2,1,1,1,1,1,1,0.5,0.686666666666667,5650
"14375",1,1,1,1,1,1,1,0.5,0.811111111111111,5650
"14376",0.5,1,1,1,1,1,1,0.5,0.733333333333333,5650
"14384",1,0.7,0.5,1,1,1,1,0.5,0.684444444444444,5470
"14387",1,1,0.5,1,1,1,1,0.5,0.744444444444444,5650
"14399",1,1,0.2,1,1,1,1,0.5,0.704444444444444,5650
"14483",1,1,1,0.5,0.5,1,1,0.5,0.711111111111111,5300
"14516",1,0.7,1,1,0.5,1,1,0.5,0.706666666666667,5470
"14519",1,1,1,1,0.5,1,1,0.5,0.766666666666667,5650
"14520",0.5,1,1,1,0.5,1,1,0.5,0.688888888888889,5650
"14531",1,1,0.5,1,0.5,1,1,0.5,0.7,5650
"14663",1,1,1,1,0,1,1,0.5,0.722222222222222,5650
"14699",1,1,1,0,1,0.5,1,0.5,0.677777777777778,4800
"14735",1,1,1,0.1,1,0.5,1,0.5,0.688888888888889,4870
"14768",1,0.7,1,0.5,1,0.5,1,0.5,0.673333333333333,4970
