"","power","psg","pilot","range","distance","recharge_time","airspeed","grdspeed","power_wt","power_cost","psg_wt","psg_cost","pilot_wt","pilot_cost","range_wt","range_cost","toffdist_wt","toffdist_cost","recharge_time_wt","recharge_cost","airspeed_wt","airspeed_cost","grdspeed_wt","grdspeed_cost","utility","cost"
"402692","Electric",6,"Autonomous",60,5,5,150,40,1,2,0.7,4,1,10,0.8,3,0.7,7,1,7,1,6,0.4,3,0.7,4.86111111111111
"408362","Electric",6,"Autonomous",60,0,30,150,40,1,2,0.7,4,1,10,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,4.80555555555556
"408689","Electric",8,"Autonomous",30,5,30,150,40,1,2,1,6,1,10,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,4.83333333333333
"411386","Electric",6,"Autonomous",60,0,45,150,40,1,2,0.7,4,1,10,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,4.80555555555556
"411713","Electric",8,"Autonomous",30,5,45,150,40,1,2,1,6,1,10,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,4.83333333333333
"414410","Electric",6,"Autonomous",60,0,60,150,40,1,2,0.7,4,1,10,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,4.80555555555556
"414737","Electric",8,"Autonomous",30,5,60,150,40,1,2,1,6,1,10,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,4.83333333333333
"423860","Electric",6,"Autonomous",60,5,5,200,40,1,2,0.7,4,1,10,0.8,3,0.7,7,1,7,1,6,0.4,3,0.7,4.86111111111111
"429530","Electric",6,"Autonomous",60,0,30,200,40,1,2,0.7,4,1,10,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,4.80555555555556
"429857","Electric",8,"Autonomous",30,5,30,200,40,1,2,1,6,1,10,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,4.83333333333333
"432554","Electric",6,"Autonomous",60,0,45,200,40,1,2,0.7,4,1,10,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,4.80555555555556
"432881","Electric",8,"Autonomous",30,5,45,200,40,1,2,1,6,1,10,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,4.83333333333333
"435578","Electric",6,"Autonomous",60,0,60,200,40,1,2,0.7,4,1,10,0.8,3,1,8,0.4,5,1,6,0.4,3,0.7,4.80555555555556
"435905","Electric",8,"Autonomous",30,5,60,200,40,1,2,1,6,1,10,0.5,2,0.7,7,0.4,5,1,6,0.4,3,0.7,4.83333333333333
"490064","Electric",6,"Autonomous",90,0,10,40,80,1,2,0.7,4,1,10,1,4,1,8,0.7,6,0.4,3,0.6,4,0.7,4.94444444444444
"490118","Electric",6,"Autonomous",120,0,10,40,80,1,2,0.7,4,1,10,1,4,1,8,0.7,6,0.4,3,0.6,4,0.7,4.94444444444444
"490172","Electric",6,"Autonomous",150,0,10,40,80,1,2,0.7,4,1,10,1,5,1,8,0.7,6,0.4,3,0.6,4,0.7,5.13888888888889
"490226","Electric",6,"Autonomous",180,0,10,40,80,1,2,0.7,4,1,10,1,5,1,8,0.7,6,0.4,3,0.6,4,0.7,5.13888888888889
"529326","Hybrid",8,"Autonomous",60,0,5,100,80,0.5,2.5,1,6,1,10,0.8,3,1,8,1,7,0.8,5,0.6,4,0.7,5.38888888888889
"532778","Electric",6,"Autonomous",90,5,10,100,80,1,2,0.7,4,1,10,1,4,0.7,7,0.7,6,0.8,5,0.6,4,0.7,4.94444444444444
"532832","Electric",6,"Autonomous",120,5,10,100,80,1,2,0.7,4,1,10,1,4,0.7,7,0.7,6,0.8,5,0.6,4,0.7,4.94444444444444
"532886","Electric",6,"Autonomous",150,5,10,100,80,1,2,0.7,4,1,10,1,5,0.7,7,0.7,6,0.8,5,0.6,4,0.7,5.13888888888889
"532940","Electric",6,"Autonomous",180,5,10,100,80,1,2,0.7,4,1,10,1,5,0.7,7,0.7,6,0.8,5,0.6,4,0.7,5.13888888888889
"544391","Electric",8,"Autonomous",30,0,120,100,80,1,2,1,6,1,10,0.5,2,1,8,0,3,0.8,5,0.6,4,0.7,4.75
"547415","Electric",8,"Autonomous",30,0,360,100,80,1,2,1,6,1,10,0.5,2,1,8,0,3,0.8,5,0.6,4,0.7,4.75
"553518","Hybrid",8,"Autonomous",60,0,10,150,80,0.5,2.5,1,6,1,10,0.8,3,1,8,0.7,6,1,6,0.6,4,0.7,5.36111111111111
"574686","Hybrid",8,"Autonomous",60,0,10,200,80,0.5,2.5,1,6,1,10,0.8,3,1,8,0.7,6,1,6,0.6,4,0.7,5.36111111111111
